-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         2.14%       5.725ms        26.60%      71.170ms     988.472us       0.000us         0.00%       2.854ms      39.644us           0 B           0 B       3.06 MB     -32.41 MB            72  
_ZN7cutlass7Kernel2I66cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.529ms         6.19%       1.529ms      10.618us           0 B           0 B           0 B           0 B           144  
                                            aten::addmm         3.59%       9.600ms         5.70%      15.239ms      70.553us       1.471ms         5.96%       1.471ms       6.809us           0 B           0 B       3.06 MB       3.06 MB           216  
                                            aten::copy_         2.84%       7.591ms         7.61%      20.351ms      19.836us       1.296ms         5.25%       1.296ms       1.264us           0 B           0 B           0 B           0 B          1026  
                                              aten::mul         4.29%      11.477ms         7.60%      20.328ms      25.284us       1.223ms         4.96%       1.223ms       1.522us           0 B           0 B      41.84 MB      41.84 MB           804  
                                               aten::to         1.11%       2.977ms        10.58%      28.298ms      27.183us       0.000us         0.00%     970.312us       0.932us           0 B           0 B      23.44 MB           0 B          1041  
                                         aten::_to_copy         2.47%       6.616ms         9.47%      25.321ms      31.260us       0.000us         0.00%     970.312us       1.198us           0 B           0 B      23.44 MB           0 B           810  
                                              aten::bmm         1.77%       4.746ms         2.58%       6.891ms      46.876us     967.875us         3.92%     967.875us       6.584us           0 B           0 B       6.09 MB       6.09 MB           147  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     759.265us         3.08%     759.265us       1.745us           0 B           0 B           0 B           0 B           435  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us     648.193us         2.63%     648.193us       1.771us           0 B           0 B           0 B           0 B           366  
                                              aten::cat         1.55%       4.148ms         3.05%       8.164ms      28.055us     647.562us         2.62%     647.562us       2.225us           0 B           0 B       3.42 MB       3.42 MB           291  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us     641.898us         2.60%     641.898us       2.229us           0 B           0 B           0 B           0 B           288  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     593.635us         2.40%     593.635us       8.245us           0 B           0 B           0 B           0 B            72  
                                              aten::add         2.15%       5.751ms         4.06%      10.850ms      24.772us     570.497us         2.31%     570.497us       1.303us           0 B           0 B       7.49 MB       7.49 MB           438  
                                    aten::_safe_softmax         0.52%       1.387ms         3.83%      10.233ms     142.118us       0.000us         0.00%     491.359us       6.824us           0 B           0 B       1.41 MB    -432.00 KB            72  
_ZN7cutlass7Kernel2I66cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     478.465us         1.94%     478.465us       3.323us           0 B           0 B           0 B           0 B           144  
                                             aten::mean         0.84%       2.257ms         1.50%       4.011ms      27.284us     397.789us         1.61%     397.789us       2.706us           0 B           0 B      73.50 KB      73.50 KB           147  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us     397.789us         1.61%     397.789us       2.706us           0 B           0 B           0 B           0 B           147  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     370.560us         1.50%     370.560us       5.147us           0 B           0 B           0 B           0 B            72  
                                            aten::where         1.09%       2.907ms         3.56%       9.520ms      44.073us     202.526us         0.82%     358.653us       1.660us           0 B           0 B     216.00 KB     -36.00 KB           216  
                                            aten::clone         0.53%       1.425ms         3.10%       8.301ms      38.432us       0.000us         0.00%     326.149us       1.510us           0 B           0 B      11.71 MB           0 B           216  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 267.507ms
Self CUDA time total: 24.684ms
