-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::scaled_dot_product_attention         0.25%     532.600us        27.92%      59.236ms     822.722us       0.000us         0.00%       2.920ms      40.560us           0 B           0 B       2.36 MB    -720.00 KB            72  
               aten::_scaled_dot_product_attention_math         2.99%       6.351ms        27.67%      58.703ms     815.325us       0.000us         0.00%       2.920ms      40.560us           0 B           0 B       3.06 MB     -32.41 MB            72  
_ZN7cutlass7Kernel2I66cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.769ms         1.40%       1.769ms      11.869us           0 B           0 B           0 B           0 B           149  
                                            aten::addmm         3.55%       7.534ms         5.03%      10.677ms      49.431us       1.600ms         1.27%       1.600ms       7.407us           0 B           0 B       3.06 MB       3.06 MB           216  
                                            aten::copy_         3.28%       6.954ms         8.35%      17.707ms      15.095us       1.434ms         1.14%       1.434ms       1.222us           0 B           0 B           0 B           0 B          1173  
                                              aten::bmm         1.61%       3.408ms         2.48%       5.251ms      35.719us     976.541us         0.77%     976.541us       6.643us           0 B           0 B       6.09 MB       6.09 MB           147  
                                               aten::to         0.94%       1.999ms        10.02%      21.249ms      23.768us       0.000us         0.00%     957.842us       1.071us           0 B           0 B      23.44 MB           0 B           894  
                                         aten::_to_copy         2.40%       5.084ms         9.07%      19.250ms      23.765us       0.000us         0.00%     957.842us       1.183us           0 B           0 B      23.44 MB           0 B           810  
                                              aten::mul         2.84%       6.031ms         4.52%       9.598ms      18.819us     784.050us         0.62%     784.050us       1.537us           0 B           0 B      27.49 MB      27.49 MB           510  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us     687.171us         0.54%     687.171us       1.804us           0 B           0 B           0 B           0 B           381  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us     683.516us         0.54%     683.516us       2.278us           0 B           0 B           0 B           0 B           300  
                                              aten::cat         1.27%       2.693ms         2.26%       4.794ms      16.475us     657.723us         0.52%     657.723us       2.260us           0 B           0 B       3.42 MB       3.42 MB           291  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     628.799us         0.50%     628.799us       8.384us           0 B           0 B           0 B           0 B            75  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     547.221us         0.43%     547.221us       1.824us           0 B           0 B           0 B           0 B           300  
_ZN7cutlass7Kernel2I66cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     535.396us         0.42%     535.396us       3.593us           0 B           0 B           0 B           0 B           149  
                                    aten::_safe_softmax         0.88%       1.877ms         4.67%       9.901ms     137.511us       0.000us         0.00%     509.733us       7.080us           0 B           0 B       1.41 MB    -432.00 KB            72  
                                              aten::add         1.27%       2.692ms         2.25%       4.774ms      16.404us     439.508us         0.35%     439.508us       1.510us           0 B           0 B       7.42 MB       7.42 MB           291  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     391.901us         0.31%     391.901us       5.225us           0 B           0 B           0 B           0 B            75  
                                            aten::where         1.28%       2.724ms         4.08%       8.650ms      40.048us     215.328us         0.17%     385.283us       1.784us           0 B           0 B     216.00 KB     -36.00 KB           216  
                                            aten::fill_         1.04%       2.205ms         2.79%       5.920ms      13.608us     384.898us         0.30%     384.898us       0.885us           0 B           0 B           0 B           0 B           435  
                                            aten::clone         0.51%       1.080ms         2.91%       6.177ms      28.599us       0.000us         0.00%     334.365us       1.548us           0 B           0 B      11.71 MB           0 B           216  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 212.127ms
Self CUDA time total: 126.236ms
